Title,Birthyear,Occupational_group
Andrei_Sakharov,,academic
Andrei_Shleifer,,academic
Andrei_Shleifer,,judiciary
Andrei_Sinyavsky,,author/journalist
Andrei_Snezhnevsky,1904,academic
Andrei_Suslin,1950,academic
Andrei_Voronkov,1959,academic
Andrei_Zelevinsky,1953,academic
Andrej_Babiš,1954,office_holder
Andrej_Bauer,1971,academic
Andrej_Kiska,1963,office_holder
Andrej_Kral,1969,academic
Andrej_Kral,1969,medical_field
Andrej_Ďurkovský,1958,office_holder
Andrej_Šali,1963,academic
Andreja_Katič,,office_holder
Andrejs_Elksniņš,1982,office_holder
Andrejs_Grants,,artist
Andrejs_Klementjevs,1973,office_holder
Andrejs_Mamikins,1976,office_holder
Andrejs_Pildegovičs,1971,office_holder
Andres_Alcantara,1960,artist
Andres_Arango,,athlete
Andres_Gonzales,1983,athlete
Andreu_Veà_Baró,1969,academic
Andrew_A._Skolnick,,author/journalist
Andrew_A._Skolnick,,artist
Andrew_A._Smith,1959,author/journalist
Andrew_A._Stone,,athlete
Andrew_Abel,1952,academic
Andrew_Abercromby,1980,academic
Andrew_Abercromby,1980,medical_field
"Andrew_Adonis,_Baron_Adonis",1963,office_holder
Andrew_Amos,1863,athlete
Andrew_Ang,1946,judiciary
Andrew_Apter,1959,academic
Andrew_Apter,1959,author/journalist
Andrew_Aydin,1983,author/journalist
Andrew_B._Newberg,1966,academic
Andrew_B._Newberg,1966,medical_field
Andrew_B._Willison,1966,politician
Andrew_Bacevich,1947,academic
Andrew_Bachman,1983,medical_field
Andrew_Bailey_(banker),1959,office_holder
Andrew_Baldwin,1977,medical_field
Andrew_Balfour,1873,athlete
Andrew_Balfour_(botanist),1630,academic
Andrew_Balfour_(botanist),1630,medical_field
Andrew_Ballen,1973,office_holder
Andrew_Ballen,1973,military
Andrew_Barr,,politician
Andrew_Barron,,athlete
Andrew_Bartlett,,politician
Andrew_Beerwinkel,1993,athlete
Andrew_Bergman,1945,author/journalist
Andrew_Bergman,1945,actor
Andrew_Berry,1963,academic
Andrew_Billings,,athlete
Andrew_Bingham,1962,politician
Andrew_Biraj,,author/journalist
Andrew_Bird_Glaspie,1876,athlete
Andrew_Black_(gambling_entrepreneur),1963,other
Andrew_Blake_(scientist),1956,academic
Andrew_Boyens,,athlete
Andrew_Breeze,1954,academic
Andrew_Brennan_(bishop),1877,religious_figure
Andrew_Brenner,1971,office_holder
Andrew_Bridgen,1964,politician
Andrew_Briggs,1950,academic
Andrew_Brimmer,1926,academic
Andrew_Brimmer,1926,politician
Andrew_Brons,,politician
Andrew_Brown_(American_football),1995,athlete
Andrew_Browne_(rugby_union),1987,athlete
Andrew_Bruce_Holmes,1943,academic
Andrew_Burnham_(priest),1948,religious_figure
Andrew_C._Brock,,office_holder
Andrew_C._Hecht,1967,academic
Andrew_C._Hecht,1967,medical_field
Andrew_C._McLaughlin,1861,academic
Andrew_C._Taylor,,office_holder
Andrew_Caldecott,,office_holder
Andrew_Calof,1991,athlete
Andrew_Card,,office_holder
Andrew_Carn,1950,office_holder
Andrew_Carroll,1969,author/journalist
Andrew_Casson,1943,academic
Andrew_Cayton,1954,academic
Andrew_Checketts,,athlete
Andrew_Cheng,1960,politician
Andrew_Chenge,1947,office_holder
Andrew_Cheung,1961,judiciary
Andrew_Clinch,1867,athlete
Andrew_Cohen_(colonial_governor),1909,politician
Andrew_Cohen_(politician),1969,office_holder
Andrew_Coltart,,athlete
Andrew_Combs,,athlete
Andrew_Conway,1991,athlete
Andrew_Copelan,,athlete
Andrew_Copson,1980,other
Andrew_Cornell_Robinson,1968,artist
Andrew_Coulouris,1978,office_holder
Andrew_Cunningham_Scott,1952,academic
Andrew_Cuomo,,office_holder
Andrew_D._Hurwitz,1947,office_holder
Andrew_Daish,1984,athlete
Andrew_David_Irvine,1958,academic
"Andrew_Davidson,_2nd_Viscount_Davidson",1928,office_holder
Andrew_Davies_(Welsh_politician),1952,office_holder
Andrew_Davies_(writer),,author/journalist
Andrew_Davis_Bruce,1894,office_holder
Andrew_Davis_Bruce,1894,politician
Andrew_Dessler,1964,academic
Andrew_Dewar_Gibb,1888,office_holder
Andrew_Dickson_White,,office_holder
Andrew_Dilnot,,academic
Andrew_Dominik,1967,author/journalist
Andrew_Dominik,1967,actor
Andrew_Douglas_(judge),,office_holder
Andrew_Duff,,politician
Andrew_Durutalo,1987,athlete
Andrew_Dutney,1958,politician
Andrew_Edis,1957,judiciary
Andrew_Ellis,,athlete
Andrew_Ewing,,office_holder
Andrew_F._Cooper,1950,academic
Andrew_F._Read,,academic
Andrew_Fabian,1948,academic
Andrew_Farmer,1979,office_holder
"Andrew_Feldman,_Baron_Feldman_of_Elstree",1966,office_holder
Andrew_Fields,,athlete
Andrew_Fire,1959,academic
Andrew_Forde,1987,business_person
Andrew_Forrest,1961,office_holder
Andrew_Forsyth,,academic
Andrew_Fox_(businessman),,other
Andrew_Fox_(footballer),1990,athlete
Andrew_Fraknoi,1948,academic
Andrew_Frangella,,other
Andrew_Frank_Schoeppel,,politician
Andrew_Fraser_(Queensland_politician),1976,office_holder
Andrew_G._Reid,1878,athlete
Andrew_G._White,,academic
Andrew_Gault,1882,office_holder
Andrew_Gaze,,athlete
Andrew_Gee_(politician),,office_holder
Andrew_Gelman,1965,academic
Andrew_George_(politician),,politician
Andrew_Gerber,,academic
Andrew_Giles,1973,politician
Andrew_Gill_(coach),,athlete
