Title,Birthyear,Occupational_group
Art_Carmody,1984,athlete
Art_Collins_(basketball),,athlete
Art_Doering,1915,athlete
Art_Dufelmeier,1923,athlete
Art_Eason,,athlete
Art_Edgson,1949,athlete
Art_Hillebrand,,athlete
Art_Howe_(American_football),1890,athlete
Art_Kahler,1897,athlete
Art_Kaufman,,athlete
Art_Keller,1921,athlete
Art_Lewis,,athlete
Art_Long,,athlete
Art_Mahan,1913,athlete
Art_McLarney,1908,athlete
Art_McLarney__Art_McLarney__1,,athlete
Art_Napolitano,1956,athlete
Art_Orloske,1922,athlete
Art_Powell_(coach),1884,athlete
Art_Raimo,1916,athlete
Art_Renner,1923,athlete
Art_Spinney,1927,athlete
Art_Stevenson,,athlete
Art_Van_Tone,1918,athlete
"Art_Wall,_Jr.",,athlete
Art_Weiner,,athlete
Art_dela_Cruz,1989,athlete
Artavis_Scott,1994,athlete
Arthur_B._Woodford,1861,athlete
Arthur_Berndt,1884,athlete
Arthur_Brides,1885,athlete
Arthur_Cornish,1897,athlete
Arthur_Dorward,,athlete
Arthur_Dunn,1860,athlete
Arthur_Evanson,1859,athlete
Arthur_F._Smith,,athlete
Arthur_Finlay_(rugby_union_born_1903),1903,athlete
Arthur_Friedenreich,,athlete
Arthur_Gibson_(rugby_union_player),1844,athlete
Arthur_Guepe,,athlete
Arthur_H._Parmelee,1883,athlete
Arthur_Hale_Curtis,1881,athlete
Arthur_Harding,1878,athlete
Arthur_Hughes_(rugby_player),,athlete
Arthur_J._Pierce,,athlete
Arthur_J._Willis,,athlete
Arthur_Jennings_(rugby_union),1940,athlete
Arthur_Karpus,1898,athlete
Arthur_Kendel,,athlete
Arthur_Kerry,1879,athlete
Arthur_Lyon_(rugby_union),1851,athlete
Arthur_M._Brown,1884,athlete
Arthur_Matsu,1904,athlete
Arthur_McFarland,1874,athlete
Arthur_McKean,1882,athlete
Arthur_Meares,1874,athlete
Arthur_Melmoth_Walters,1865,athlete
Arthur_Morton_(American_football),1914,athlete
Arthur_Mosse,1872,athlete
Arthur_P._Robinson,1879,athlete
Arthur_R._Hall,1869,athlete
Arthur_Redner,1879,athlete
Arthur_Rees,1912,athlete
Arthur_Rotherham,1869,athlete
Arthur_S._Herman,1891,athlete
Arthur_Sanders_(footballer),1901,athlete
Arthur_Schabinger,1889,athlete
Arthur_Smith_(American_football),,athlete
Arthur_Smith_(rugby_union),,athlete
Arthur_Tonkin,1922,athlete
Arthur_Trousdell,,athlete
Arthur_Valpey,1915,athlete
Arthur_White_(American_football),1877,athlete
Arthur_Woods_(rugby_union),,athlete
Arthur_Young_(rugby_union_player),1901,athlete
Artie_Burns,1995,athlete
Artsiom_Parakhouski,,athlete
Artūras_Valeika,1985,athlete
Artūrs_Štālbergs,,athlete
Arvid_Kramer,1956,athlete
Arwind_Santos,,athlete
Asa_G._Wiley,,athlete
Asaf_Ali,,athlete
Asghar_Kardoust,1986,athlete
Ashante_Johnson,1976,athlete
Ashleigh_Gunning,1985,athlete
Ashleigh_Townsend,1985,athlete
Ashley_Baker,1990,athlete
Ashley_Beck,1990,athlete
Ashley_Billington,1969,athlete
Ashley_Field,1989,athlete
Ashley_Prange,1981,athlete
Ashley_Roestoff,1963,athlete
Ashley_Shields,,athlete
Ashton_Bennett,1988,athlete
Ashton_Constant,1983,athlete
Asia_Europe_University__Baldwin_Ngwa__1,,athlete
Asia_Europe_University__Chan_Dara__1,,athlete
Asia_Europe_University__Chan_Sophearak__1,,athlete
Asia_Europe_University__Chhang_Hai__1,,athlete
Asia_Europe_University__Chhim_Bunsan__1,,athlete
Asia_Europe_University__Choun_Chum__1,,athlete
Asia_Europe_University__Ear_Piroth__1,,athlete
Asia_Europe_University__Kenneth_Nwafor__1,,athlete
Asia_Europe_University__Kha_Theara__1,,athlete
Asia_Europe_University__Marin_Takano__1,,athlete
Asia_Europe_University__Mohamed_Hamza__1,,athlete
Asia_Europe_University__Mol_Channara__1,,athlete
Asia_Europe_University__Moneke_Obi_Ugochukwu__1,,athlete
Asia_Europe_University__Ngem_Phearom__1,,athlete
Asia_Europe_University__Ny_Vatanak__1,,athlete
Asia_Europe_University__Ouk_Sokban__1,,athlete
Asia_Europe_University__Phon_Dolla__1,,athlete
Asia_Europe_University__Pich_Rovinyothin__1,,athlete
Asia_Europe_University__Pichey_Sopheara__1,,athlete
Asia_Europe_University__Pin_Saraen__1,,athlete
Asia_Europe_University__Sen_Poukhorey__1,,athlete
Asia_Europe_University__Sim_Sokha__1,,athlete
Asia_Europe_University__Soeung_Sopanha__1,,athlete
Asia_Europe_University__Sok_Sengdara__1,,athlete
Asia_Europe_University__Yorm_Vanna__1,,athlete
Astou_Ndiaye-Diatta,,athlete
Atholstan_Mahoney,1908,athlete
Atle_Roar_Håland,1977,athlete
Ato_Agustin,1963,athlete
Atsuhiro_Miura,,athlete
Atsushi_Hiwasa,,athlete
Atsushi_Ito_(footballer),1983,athlete
Atsushi_Nagai,1974,athlete
Atsushi_Yoneyama,1976,athlete
Atsushi_Yoshimoto,1982,athlete
Atthawit_Sukchuai,1996,athlete
Atunaisa_Moli,1995,athlete
Atusaye_Nyondo,1990,athlete
Aub_Hodgson,1912,athlete
Aubone_Surtees,1865,athlete
